sample_id,bi_group,source_sheet
M100,Merlin-intact,SuppTable3
M12,Merlin-intact,SuppTable3
M13,Merlin-intact,SuppTable3
M19,Merlin-intact,SuppTable3
M23,Merlin-intact,SuppTable3
M44,Merlin-intact,SuppTable3
M49,Merlin-intact,SuppTable3
M5,Merlin-intact,SuppTable3
M51,Merlin-intact,SuppTable3
M54,Merlin-intact,SuppTable3
M57,Merlin-intact,SuppTable3
M61,Merlin-intact,SuppTable3
M65,Merlin-intact,SuppTable3
M67,Merlin-intact,SuppTable3
M70,Merlin-intact,SuppTable3
M79,Merlin-intact,SuppTable3
M80,Merlin-intact,SuppTable3
M87,Merlin-intact,SuppTable3
M96,Merlin-intact,SuppTable3
M1,Immune-enriched,SuppTable3
M17,Immune-enriched,SuppTable3
M20,Immune-enriched,SuppTable3
M21,Immune-enriched,SuppTable3
M43,Immune-enriched,SuppTable3
M52,Immune-enriched,SuppTable3
M53,Immune-enriched,SuppTable3
M56,Immune-enriched,SuppTable3
M63,Immune-enriched,SuppTable3
M68,Immune-enriched,SuppTable3
M75,Immune-enriched,SuppTable3
M76,Immune-enriched,SuppTable3
M77,Immune-enriched,SuppTable3
M83,Immune-enriched,SuppTable3
M86,Immune-enriched,SuppTable3
M90,Immune-enriched,SuppTable3
M92,Immune-enriched,SuppTable3
M93,Immune-enriched,SuppTable3
M10,Hypermitotic,SuppTable3
M14,Hypermitotic,SuppTable3
M18,Hypermitotic,SuppTable3
M2,Hypermitotic,SuppTable3
M3,Hypermitotic,SuppTable3
M46,Hypermitotic,SuppTable3
M47,Hypermitotic,SuppTable3
M48,Hypermitotic,SuppTable3
M55,Hypermitotic,SuppTable3
M58,Hypermitotic,SuppTable3
M59,Hypermitotic,SuppTable3
M60,Hypermitotic,SuppTable3
M62,Hypermitotic,SuppTable3
M64,Hypermitotic,SuppTable3
M69,Hypermitotic,SuppTable3
M7,Hypermitotic,SuppTable3
M71,Hypermitotic,SuppTable3
M72,Hypermitotic,SuppTable3
M73,Hypermitotic,SuppTable3
M74,Hypermitotic,SuppTable3
M8,Hypermitotic,SuppTable3
M89,Hypermitotic,SuppTable3
M9,Hypermitotic,SuppTable3
M91,Hypermitotic,SuppTable3
M95,Hypermitotic,SuppTable3
M97,Hypermitotic,SuppTable3
M98,Hypermitotic,SuppTable3
M102,Merlin-intact,SuppTable4_left
M110,Merlin-intact,SuppTable4_left
M116,Merlin-intact,SuppTable4_left
M120,Merlin-intact,SuppTable4_left
M125,Merlin-intact,SuppTable4_left
M127,Merlin-intact,SuppTable4_left
M128,Merlin-intact,SuppTable4_left
M129,Merlin-intact,SuppTable4_left
M130,Merlin-intact,SuppTable4_left
M133,Merlin-intact,SuppTable4_left
M135,Merlin-intact,SuppTable4_left
M137,Merlin-intact,SuppTable4_left
M141,Merlin-intact,SuppTable4_left
M142,Merlin-intact,SuppTable4_left
M144,Merlin-intact,SuppTable4_left
M147,Merlin-intact,SuppTable4_left
M153,Merlin-intact,SuppTable4_left
M155,Merlin-intact,SuppTable4_left
M161,Merlin-intact,SuppTable4_left
M165,Merlin-intact,SuppTable4_left
M166,Merlin-intact,SuppTable4_left
M168,Merlin-intact,SuppTable4_left
M173,Merlin-intact,SuppTable4_left
M174,Merlin-intact,SuppTable4_left
M175,Merlin-intact,SuppTable4_left
M178,Merlin-intact,SuppTable4_left
M179,Merlin-intact,SuppTable4_left
M181,Merlin-intact,SuppTable4_left
M182,Merlin-intact,SuppTable4_left
M183,Merlin-intact,SuppTable4_left
M185,Merlin-intact,SuppTable4_left
M186,Merlin-intact,SuppTable4_left
M187,Merlin-intact,SuppTable4_left
M190,Merlin-intact,SuppTable4_left
M191,Merlin-intact,SuppTable4_left
M192,Merlin-intact,SuppTable4_left
M193,Merlin-intact,SuppTable4_left
M194,Merlin-intact,SuppTable4_left
M199,Merlin-intact,SuppTable4_left
M200,Merlin-intact,SuppTable4_left
