accession,title,n_samples_expected,platform,role,source,open_access
GSE136661,,,,replication_candidate,GEO,True
GSE77259,,,,replication_candidate,GEO,True
GSE115966,,,,replication_candidate,GEO,True
GSE94474,,,,replication_candidate,GEO,True
GSE16581,,,,replication_candidate,GEO,True
GSE32062,,,,replication_candidate,GEO,True
GSE40516,,,,replication_candidate,GEO,True
GSE43290,,,,replication_candidate,GEO,True
GSE48841,,,,replication_candidate,GEO,True
GSE55018,,,,replication_candidate,GEO,True
