cohort,program,subgroup_col,group_a,group_b,n_a,n_b,median_a,median_b,delta_median_a_minus_b,mann_whitney_u,p_raw,cliffs_delta,p_bh_fdr,reject_bh_fdr,p_bh_fdr_all_program_pairs,reject_bh_fdr_all_program_pairs
nassiri_synthetic,HDAC_Panobinostat_Romidepsin,nassiri_group,Hypermetabolic,Immunogenic,54,54,-0.29437718301411325,0.8642078784201224,-1.1585850614342357,428.0,2.520544917982963e-10,-0.7064471879286695,7.56163475394889e-10,True,3.4371067063404043e-10,True
nassiri_synthetic,HDAC_Panobinostat_Romidepsin,nassiri_group,Hypermetabolic,NF2-inactivated canonical,54,77,-0.29437718301411325,0.19169000527588487,-0.4860671882899981,1567.0,0.016770456126381922,-0.24627224627224628,0.016770456126381922,True,0.016770456126381922,True
nassiri_synthetic,HDAC_Panobinostat_Romidepsin,nassiri_group,Immunogenic,NF2-inactivated canonical,54,77,0.8642078784201224,0.19169000527588487,0.6725178731442375,3097.0,1.958241872098429e-06,0.4896584896584897,2.9373628081476436e-06,True,2.4478023401230363e-06,True
nassiri_synthetic,Proteasome_Carfilzomib,nassiri_group,Hypermetabolic,Immunogenic,54,54,-1.2566636767216068,1.0450377142426062,-2.301701390964213,0.0,3.3805152476296324e-19,-1.0,1.0141545742888898e-18,True,1.690257623814816e-18,True
nassiri_synthetic,Proteasome_Carfilzomib,nassiri_group,Hypermetabolic,NF2-inactivated canonical,54,77,-1.2566636767216068,0.22037491248210409,-1.477038589203711,231.0,5.688130612195313e-18,-0.8888888888888888,8.53219591829297e-18,True,1.422032653048828e-17,True
nassiri_synthetic,Proteasome_Carfilzomib,nassiri_group,Immunogenic,NF2-inactivated canonical,54,77,1.0450377142426062,0.22037491248210409,0.8246628017605021,3727.0,1.3241206656949698e-14,0.7926887926887927,1.3241206656949698e-14,True,2.2068677761582833e-14,True
nassiri_synthetic,Tubulin_Ixabepilone,nassiri_group,Hypermetabolic,Immunogenic,54,54,-1.1584666524057652,0.7744630301763442,-1.9329296825821094,33.0,2.0815818798117526e-18,-0.977366255144033,6.244745639435258e-18,True,6.244745639435258e-18,True
nassiri_synthetic,Tubulin_Ixabepilone,nassiri_group,Hypermetabolic,NF2-inactivated canonical,54,77,-1.1584666524057652,0.35299683350813366,-1.511463485913899,258.0,1.7036751124053427e-17,-0.8759018759018758,2.555512668608014e-17,True,3.650732383725734e-17,True
nassiri_synthetic,Tubulin_Ixabepilone,nassiri_group,Immunogenic,NF2-inactivated canonical,54,77,0.7744630301763442,0.35299683350813366,0.42146619666821056,3078.0,3.028973447363282e-06,0.4805194805194805,3.028973447363282e-06,True,3.4949693623422484e-06,True
nassiri_synthetic,Translation_Omacetaxine,nassiri_group,Hypermetabolic,Immunogenic,54,54,-0.7342832077808688,1.2665343458306149,-2.0008175536114834,7.0,4.987789003993603e-19,-0.99519890260631,7.481683505990404e-19,True,1.870420876497601e-18,True
nassiri_synthetic,Translation_Omacetaxine,nassiri_group,Hypermetabolic,NF2-inactivated canonical,54,77,-0.7342832077808688,-0.2997504030679722,-0.43453280471289657,1332.0,0.00048206563302161765,-0.3593073593073593,0.00048206563302161765,True,0.0005164988925231617,True
nassiri_synthetic,Translation_Omacetaxine,nassiri_group,Immunogenic,NF2-inactivated canonical,54,77,1.2665343458306149,-0.2997504030679722,1.5662847488985872,4149.0,3.7877951618050437e-22,0.9956709956709957,1.1363385485415133e-21,True,3.736068600333004e-21,True
nassiri_synthetic,HDAC8_TGFb_EMT_Resistance,nassiri_group,Hypermetabolic,Immunogenic,54,54,0.23343657335765167,-1.285746712432077,1.5191832857897287,2770.0,7.726329989955872e-16,0.8998628257887518,1.158949498493381e-15,True,1.4486868731167262e-15,True
nassiri_synthetic,HDAC8_TGFb_EMT_Resistance,nassiri_group,Hypermetabolic,NF2-inactivated canonical,54,77,0.23343657335765167,0.845702570747971,-0.6122659973903193,699.0,1.1159389032329885e-10,-0.6637806637806638,1.1159389032329885e-10,True,1.6739083548494828e-10,True
nassiri_synthetic,HDAC8_TGFb_EMT_Resistance,nassiri_group,Immunogenic,NF2-inactivated canonical,54,77,-1.285746712432077,0.845702570747971,-2.131449283180048,15.0,4.981424800444006e-22,-0.9927849927849928,1.4944274401332017e-21,True,3.736068600333004e-21,True
