analysis,program,delta_discovery,p_discovery,delta_replication,p_replication,same_direction
H3_NF2,HDAC_Panobinostat_Romidepsin,0.33637146738114726,0.08237994237421391,0.6059541850235508,6.650717356058935e-08,True
H3_NF2,Proteasome_Carfilzomib,0.3601099436442081,0.5932327380733474,-0.14993324294901392,0.3039381394850321,False
H3_NF2,Tubulin_Ixabepilone,-0.026946263740943943,0.23168956550666864,-0.12821733542709451,0.09856447808530787,True
H3_NF2,Translation_Omacetaxine,0.6688824044851938,0.0004192899717170121,0.06301909238502006,0.524289076481764,True
H3_NF2,HDAC8_TGFb_EMT_Resistance,-1.1364601879090115,3.3901370987133467e-12,-0.9592525320920737,2.41366300996663e-08,True
H2_pairwise::Hypermetabolic-Immunogenic,HDAC_Panobinostat_Romidepsin,-1.1585850614342357,2.520544917982963e-10,-0.6565512710566996,7.897151807490811e-05,True
H2_pairwise::Hypermetabolic-NF2-inactivated canonical,HDAC_Panobinostat_Romidepsin,-0.4860671882899981,0.016770456126381922,-0.13167328726186273,0.9424476434796137,True
H2_pairwise::Immunogenic-NF2-inactivated canonical,HDAC_Panobinostat_Romidepsin,0.6725178731442375,1.958241872098429e-06,0.524877983794837,1.596172573964284e-06,True
H2_pairwise::Hypermetabolic-Immunogenic,Proteasome_Carfilzomib,-2.301701390964213,3.3805152476296324e-19,-2.4124446627128946,1.0340261852830369e-20,True
H2_pairwise::Hypermetabolic-NF2-inactivated canonical,Proteasome_Carfilzomib,-1.477038589203711,5.688130612195313e-18,-1.3760013215024658,1.297432714414773e-17,True
H2_pairwise::Immunogenic-NF2-inactivated canonical,Proteasome_Carfilzomib,0.8246628017605021,1.3241206656949698e-14,1.0364433412104288,1.451650705010117e-19,True
H2_pairwise::Hypermetabolic-Immunogenic,Tubulin_Ixabepilone,-1.9329296825821094,2.0815818798117526e-18,-1.7047891906512223,5.56309454950711e-20,True
H2_pairwise::Hypermetabolic-NF2-inactivated canonical,Tubulin_Ixabepilone,-1.511463485913899,1.7036751124053427e-17,-1.1632442145901851,1.0771071776607204e-18,True
H2_pairwise::Immunogenic-NF2-inactivated canonical,Tubulin_Ixabepilone,0.42146619666821056,3.028973447363282e-06,0.5415449760610371,1.5653038159154758e-08,True
H2_pairwise::Hypermetabolic-Immunogenic,Translation_Omacetaxine,-2.0008175536114834,4.987789003993603e-19,-2.2532879703674586,8.597607030972261e-22,True
H2_pairwise::Hypermetabolic-NF2-inactivated canonical,Translation_Omacetaxine,-0.43453280471289657,0.00048206563302161765,-0.701519327349721,7.56107236958662e-12,True
H2_pairwise::Immunogenic-NF2-inactivated canonical,Translation_Omacetaxine,1.5662847488985872,3.7877951618050437e-22,1.5517686430177378,7.737093362889353e-27,True
H2_pairwise::Hypermetabolic-Immunogenic,HDAC8_TGFb_EMT_Resistance,1.5191832857897287,7.726329989955872e-16,1.443778387978218,7.480637646058693e-19,True
H2_pairwise::Hypermetabolic-NF2-inactivated canonical,HDAC8_TGFb_EMT_Resistance,-0.6122659973903193,1.1159389032329885e-10,-0.5855605772835356,7.83357881165591e-10,True
H2_pairwise::Immunogenic-NF2-inactivated canonical,HDAC8_TGFb_EMT_Resistance,-2.131449283180048,4.981424800444006e-22,-2.0293389652617537,1.7137167812494854e-27,True
